year,title,url
2025,UFC on ESPN+ 114: Burns vs. Morales,https://mmadecisions.com/event/1547/UFC-on-ESPN+-114-Burns-vs-Morales
2025,UFC 315: Muhammad vs. Della Maddalena,https://mmadecisions.com/event/1546/UFC-315-Muhammad-vs-Della-Maddalena
2025,UFC on ESPN 67: Sandhagen vs. Figueiredo,https://mmadecisions.com/event/1545/UFC-on-ESPN-67-Sandhagen-vs-Figueiredo
2025,UFC on ESPN 66: Machado Garry vs. Prates,https://mmadecisions.com/event/1543/UFC-on-ESPN-66-Machado-Garry-vs-Prates
2025,UFC 314: Volkanovski vs. Lopes,https://mmadecisions.com/event/1538/UFC-314-Volkanovski-vs-Lopes
2025,UFC on ESPN 65: Emmett vs. Murphy,https://mmadecisions.com/event/1536/UFC-on-ESPN-65-Emmett-vs-Murphy
2025,UFC on ESPN 64: Moreno vs. Erceg,https://mmadecisions.com/event/1535/UFC-on-ESPN-64-Moreno-vs-Erceg
2025,UFC on ESPN+ 113: Edwards vs. Brady,https://mmadecisions.com/event/1534/UFC-on-ESPN+-113-Edwards-vs-Brady
2025,UFC on ESPN+ 112: Vettori vs. Dolidze 2,https://mmadecisions.com/event/1530/UFC-on-ESPN+-112-Vettori-vs-Dolidze-2
2025,UFC 313: Pereira vs. Ankalaev,https://mmadecisions.com/event/1529/UFC-313-Pereira-vs-Ankalaev
2025,UFC on ESPN+ 111: Kape vs. Almabayev,https://mmadecisions.com/event/1527/UFC-on-ESPN+-111-Kape-vs-Almabayev
2025,UFC on ESPN+ 110: Cejudo vs. Song,https://mmadecisions.com/event/1526/UFC-on-ESPN+-110-Cejudo-vs-Song
2025,UFC on ESPN+ 109: Cannonier vs. Rodrigues,https://mmadecisions.com/event/1525/UFC-on-ESPN+-109-Cannonier-vs-Rodrigues
2025,UFC 312: du Plessis vs. Strickland 2,https://mmadecisions.com/event/1524/UFC-312-du-Plessis-vs-Strickland-2
2025,UFC on ESPN+ 108: Adesanya vs. Imavov,https://mmadecisions.com/event/1523/UFC-on-ESPN+-108-Adesanya-vs-Imavov
2025,UFC 311: Makhachev vs. Moicano,https://mmadecisions.com/event/1520/UFC-311-Makhachev-vs-Moicano
2025,UFC on ESPN+ 107: Dern vs. Ribas 2,https://mmadecisions.com/event/1519/UFC-on-ESPN+-107-Dern-vs-Ribas-2
