year,event,bout,method,judge,score
2024,UFC on ESPN+ 95,Royval def. Moreno,Split,BELL,48 - 47
2024,UFC on ESPN+ 95,Royval def. Moreno,Split,KAMIJO,46 - 49
2024,UFC on ESPN+ 95,Royval def. Moreno,Split,LEE,48 - 47
2024,UFC on ESPN+ 95,Zellhuber def. Prado,Unanimous,JIMENEZ,29 - 28
2024,UFC on ESPN+ 95,Zellhuber def. Prado,Unanimous,KAMIJO,29 - 28
2024,UFC on ESPN+ 95,Zellhuber def. Prado,Unanimous,WINTER,30 - 27
2024,UFC on ESPN+ 95,Jauregui def. Hughes,Unanimous,BELL,30 - 27
2024,UFC on ESPN+ 95,Jauregui def. Hughes,Unanimous,LOPEZ,30 - 27
2024,UFC on ESPN+ 95,Jauregui def. Hughes,Unanimous,WINTER,30 - 27
2024,UFC on ESPN+ 95,Aguilar def. Mendonca,Split,BELL,29 - 28
2024,UFC on ESPN+ 95,Aguilar def. Mendonca,Split,COLÓN,28 - 29
2024,UFC on ESPN+ 95,Aguilar def. Mendonca,Split,LOPEZ,29 - 28
2024,UFC on ESPN+ 95,Ziam def. Puelles,Split,BELL,30 - 27
2024,UFC on ESPN+ 95,Ziam def. Puelles,Split,LEE,29 - 28
2024,UFC on ESPN+ 95,Ziam def. Puelles,Split,SALAS,28 - 29
2024,UFC on ESPN+ 95,dos Santos def. Altamirano,Split,BELL,29 - 28
2024,UFC on ESPN+ 95,dos Santos def. Altamirano,Split,JIMENEZ,27 - 30
2024,UFC on ESPN+ 95,dos Santos def. Altamirano,Split,KAMIJO,29 - 28
2024,UFC 298,Whittaker def. Costa,Unanimous,BELL,30 - 27
2024,UFC 298,Whittaker def. Costa,Unanimous,KELLY,29 - 28
2024,UFC 298,Whittaker def. Costa,Unanimous,MCCARTHY,29 - 28
2024,UFC 298,Garry def. Neal,Split,CLEARY,28 - 29
2024,UFC 298,Garry def. Neal,Split,D'AMATO,30 - 27
2024,UFC 298,Garry def. Neal,Split,OH,30 - 27
2024,UFC 298,Dvalishvili def. Cejudo,Unanimous,BELL,29 - 28
2024,UFC 298,Dvalishvili def. Cejudo,Unanimous,DAVIS,29 - 28
2024,UFC 298,Dvalishvili def. Cejudo,Unanimous,LEBEN,29 - 28
2024,UFC 298,Lemos def. Dern,Unanimous,BELL,29 - 28
2024,UFC 298,Lemos def. Dern,Unanimous,CLEARY,29 - 28
2024,UFC 298,Lemos def. Dern,Unanimous,D'AMATO,29 - 28
2024,UFC 298,Nakamura def. Vera,Unanimous,DAVIS,30 - 27
2024,UFC 298,Nakamura def. Vera,Unanimous,LEBEN,30 - 27
2024,UFC 298,Nakamura def. Vera,Unanimous,MCCARTHY,30 - 27
2024,UFC 298,Elliott def. Woodburn,Unanimous,BELL,30 - 27
2024,UFC 298,Elliott def. Woodburn,Unanimous,KELLY,29 - 28
2024,UFC 298,Elliott def. Woodburn,Unanimous,LEBEN,30 - 27
2024,UFC 298,Maverick def. Lee,Unanimous,DAVIS,30 - 27
2024,UFC 298,Maverick def. Lee,Unanimous,MCCARTHY,29 - 28
2024,UFC 298,Maverick def. Lee,Unanimous,OH,30 - 27
2024,UFC on ESPN+ 94,Hermansson def. Pyfer,Unanimous,BELL,48 - 47
2024,UFC on ESPN+ 94,Hermansson def. Pyfer,Unanimous,D'AMATO,48 - 47
2024,UFC on ESPN+ 94,Hermansson def. Pyfer,Unanimous,LEE,48 - 47
2024,UFC on ESPN+ 94,Potieria def. Bryczek,Unanimous,BYRD,30 - 27
2024,UFC on ESPN+ 94,Potieria def. Bryczek,Unanimous,FLORES,29 - 28
2024,UFC on ESPN+ 94,Potieria def. Bryczek,Unanimous,MONTALVO,30 - 27
2024,UFC on ESPN+ 94,Johnson def. Flowers,Unanimous,COLÓN,30 - 27
2024,UFC on ESPN+ 94,Johnson def. Flowers,Unanimous,KAMIJO,30 - 27
2024,UFC on ESPN+ 94,Johnson def. Flowers,Unanimous,LEE,30 - 27
2024,UFC on ESPN+ 94,Oki def. Cuamba,Split,BELL,29 - 28
2024,UFC on ESPN+ 94,Oki def. Cuamba,Split,LEBEN,29 - 28
2024,UFC on ESPN+ 94,Oki def. Cuamba,Split,LEE,28 - 29
2024,UFC on ESPN+ 94,Lookboonmee def. Brasil,Unanimous,COLÓN,29 - 28
2024,UFC on ESPN+ 94,Lookboonmee def. Brasil,Unanimous,D'AMATO,29 - 28
2024,UFC on ESPN+ 94,Lookboonmee def. Brasil,Unanimous,KAMIJO,29 - 28
2024,UFC on ESPN+ 94,Prachnio def. Clark,Unanimous,BELL,30 - 27
2024,UFC on ESPN+ 94,Prachnio def. Clark,Unanimous,LEE,30 - 27
2024,UFC on ESPN+ 94,Prachnio def. Clark,Unanimous,MONTALVO,30 - 27
2024,UFC on ESPN+ 94,Griffin def. Wells,Split,BYRD,29 - 28
2024,UFC on ESPN+ 94,Griffin def. Wells,Split,D'AMATO,28 - 29
2024,UFC on ESPN+ 94,Griffin def. Wells,Split,KAMIJO,29 - 28
2024,UFC on ESPN+ 93,Imavov def. Dolidze,Majority,CLEARY,49 - 44
2024,UFC on ESPN+ 93,Imavov def. Dolidze,Majority,D'AMATO,48 - 46
2024,UFC on ESPN+ 93,Imavov def. Dolidze,Majority,MCCARTHY,47 - 47
2024,UFC on ESPN+ 93,Moicano def. Dober,Unanimous,BELL,29 - 28
2024,UFC on ESPN+ 93,Moicano def. Dober,Unanimous,KAMIJO,29 - 28
2024,UFC on ESPN+ 93,Moicano def. Dober,Unanimous,LEE,29 - 28
2024,UFC on ESPN+ 93,Silva def. Araujo,Unanimous,BELL,29 - 28
2024,UFC on ESPN+ 93,Silva def. Araujo,Unanimous,CLEARY,29 - 28
2024,UFC on ESPN+ 93,Silva def. Araujo,Unanimous,D'AMATO,29 - 28
2024,UFC on ESPN+ 93,Johnson def. Maksum,Unanimous,CLEARY,29 - 28
2024,UFC on ESPN+ 93,Johnson def. Maksum,Unanimous,D'AMATO,29 - 28
2024,UFC on ESPN+ 93,Johnson def. Maksum,Unanimous,LEE,29 - 28
2024,UFC on ESPN+ 93,Lee def. Bilder,Unanimous,BELL,30 - 27
2024,UFC on ESPN+ 93,Lee def. Bilder,Unanimous,BYRD,30 - 27
2024,UFC on ESPN+ 93,Lee def. Bilder,Unanimous,LEE,30 - 27
2024,UFC on ESPN+ 93,Mederos def. Quinones,Unanimous,BYRD,29 - 28
2024,UFC on ESPN+ 93,Mederos def. Quinones,Unanimous,KAMIJO,29 - 28
2024,UFC on ESPN+ 93,Mederos def. Quinones,Unanimous,MCCARTHY,29 - 28
2024,UFC on ESPN+ 93,Pogues def. Petersen,Unanimous,BELL,29 - 28
2024,UFC on ESPN+ 93,Pogues def. Petersen,Unanimous,LEE,30 - 27
2024,UFC on ESPN+ 93,Pogues def. Petersen,Unanimous,MANESS,29 - 28
2024,UFC 297,Du Plessis def. Strickland,Split,CLEARY,48 - 47
2024,UFC 297,Du Plessis def. Strickland,Split,COLÓN,48 - 47
2024,UFC 297,Du Plessis def. Strickland,Split,D'AMATO,47 - 48
2024,UFC 297,Pennington def. Bueno Silva,Unanimous,COLÓN,49 - 46
2024,UFC 297,Pennington def. Bueno Silva,Unanimous,D'AMATO,49 - 46
2024,UFC 297,Pennington def. Bueno Silva,Unanimous,HANIFF,49 - 45
2024,UFC 297,Curtis def. Barriault,Split,CLEARY,28 - 29
2024,UFC 297,Curtis def. Barriault,Split,COLÓN,30 - 27
2024,UFC 297,Curtis def. Barriault,Split,WOODS,30 - 27
2024,UFC 297,Evloev def. Allen,Unanimous,COLÓN,29 - 28
2024,UFC 297,Evloev def. Allen,Unanimous,HANIFF,29 - 28
2024,UFC 297,Evloev def. Allen,Unanimous,VANDERMEER,29 - 28
2024,UFC 297,Armfield def. Katona,Unanimous,COLÓN,29 - 28
2024,UFC 297,Armfield def. Katona,Unanimous,COSTELLO,29 - 28
2024,UFC 297,Armfield def. Katona,Unanimous,D'AMATO,29 - 28
2024,UFC 297,Woodson def. Jourdain,Split,CLEARY,29 - 28
2024,UFC 297,Woodson def. Jourdain,Split,VANDERMEER,28 - 29
2024,UFC 297,Woodson def. Jourdain,Split,WOODS,29 - 28
2024,UFC 297,Taveras def. Sidey,Split,CLEARY,28 - 29
2024,UFC 297,Taveras def. Sidey,Split,COLÓN,29 - 28
2024,UFC 297,Taveras def. Sidey,Split,HANIFF,29 - 28
2024,UFC on ESPN+ 92,Bautista def. Simon,Unanimous,CLEARY,29 - 28
2024,UFC on ESPN+ 92,Bautista def. Simon,Unanimous,D'AMATO,30 - 27
2024,UFC on ESPN+ 92,Bautista def. Simon,Unanimous,LEE,30 - 27
2024,UFC on ESPN+ 92,Cortes-Acosta def. Arlovski,Unanimous,CLEARY,29 - 28
2024,UFC on ESPN+ 92,Cortes-Acosta def. Arlovski,Unanimous,D'AMATO,29 - 28
2024,UFC on ESPN+ 92,Cortes-Acosta def. Arlovski,Unanimous,LEE,29 - 28
2024,UFC on ESPN+ 92,Parsons def. Semelsberger,Unanimous,BELL,30 - 27
2024,UFC on ESPN+ 92,Parsons def. Semelsberger,Unanimous,KAMIJO,30 - 27
2024,UFC on ESPN+ 92,Parsons def. Semelsberger,Unanimous,MCCARTHY,30 - 27
2024,UFC on ESPN+ 92,Basharat def. Lapilus,Unanimous,BELL,30 - 27
2024,UFC on ESPN+ 92,Basharat def. Lapilus,Unanimous,D'AMATO,30 - 27
2024,UFC on ESPN+ 92,Basharat def. Lapilus,Unanimous,KAMIJO,30 - 27
2025,UFC 317,Van def. Royval,Unanimous,BELL,29 - 28
2025,UFC 317,Van def. Royval,Unanimous,MCCARTHY,29 - 28
2025,UFC 317,Van def. Royval,Unanimous,WERNER,30 - 27
2025,UFC 317,Dariush def. Moicano,Unanimous,BELL,29 - 28
2025,UFC 317,Dariush def. Moicano,Unanimous,KAMIJO,29 - 28
2025,UFC 317,Dariush def. Moicano,Unanimous,LETHABY,29 - 28
2025,UFC 317,Talbott def. Lima,Unanimous,CARTLIDGE,29 - 28
2025,UFC 317,Talbott def. Lima,Unanimous,LEE,29 - 28
2025,UFC 317,Talbott def. Lima,Unanimous,MCCARTHY,29 - 28
2025,UFC 317,Cortez def. Araujo,Unanimous,BELL,30 - 27
2025,UFC 317,Cortez def. Araujo,Unanimous,D'AMATO,30 - 27
2025,UFC 317,Cortez def. Araujo,Unanimous,MCCARTHY,30 - 27
2025,UFC 317,Diniz def. Hines,Unanimous,LEE,29 - 28
2025,UFC 317,Diniz def. Hines,Unanimous,WEEKS,29 - 28
2025,UFC 317,Diniz def. Hines,Unanimous,WERNER,29 - 28
2025,UFC on ABC 8,Rountree Jr. def. Hill,Unanimous,CARTLIDGE,49 - 46
2025,UFC on ABC 8,Rountree Jr. def. Hill,Unanimous,LETHABY,50 - 45
2025,UFC on ABC 8,Rountree Jr. def. Hill,Unanimous,WERNER,50 - 45
2025,UFC on ABC 8,Fiziev def. Bahamondes,Unanimous,COLÓN,30 - 27
2025,UFC on ABC 8,Fiziev def. Bahamondes,Unanimous,PAOLILLO,30 - 27
2025,UFC on ABC 8,Fiziev def. Bahamondes,Unanimous,RANSOM,30 - 27
2025,UFC on ABC 8,Blaydes def. Kuniev,Split,CARTLIDGE,28 - 29
2025,UFC on ABC 8,Blaydes def. Kuniev,Split,COLÓN,29 - 28
2025,UFC on ABC 8,Blaydes def. Kuniev,Split,RANSOM,29 - 28
2025,UFC on ABC 8,Naimov def. Grad,Unanimous,CARTLIDGE,29 - 28
2025,UFC on ABC 8,Naimov def. Grad,Unanimous,LETHABY,29 - 28
2025,UFC on ABC 8,Naimov def. Grad,Unanimous,RANSOM,29 - 28
2025,UFC on ABC 8,Ko def. Elliott,Unanimous,COLÓN,30 - 27
2025,UFC on ABC 8,Ko def. Elliott,Unanimous,RANSOM,30 - 27
2025,UFC on ABC 8,Ko def. Elliott,Unanimous,WERNER,30 - 27
2025,UFC on ABC 8,Park def. Naurdiev,Unanimous,CARTLIDGE,29 - 25
2025,UFC on ABC 8,Park def. Naurdiev,Unanimous,PAOLILLO,29 - 26
2025,UFC on ABC 8,Park def. Naurdiev,Unanimous,WERNER,29 - 26
2025,UFC on ABC 8,Zhelezniakova def. Mullins,Unanimous,COLÓN,30 - 27
2025,UFC on ABC 8,Zhelezniakova def. Mullins,Unanimous,LETHABY,30 - 27
2025,UFC on ABC 8,Zhelezniakova def. Mullins,Unanimous,RANSOM,29 - 28
2025,UFC on ABC 8,Sygula def. Alekseeva,Unanimous,CARTLIDGE,30 - 27
2025,UFC on ABC 8,Sygula def. Alekseeva,Unanimous,COLÓN,30 - 27
2025,UFC on ABC 8,Sygula def. Alekseeva,Unanimous,RANSOM,30 - 27
2025,UFC on ABC 8,Ulanbekov def. Maksum,Unanimous,COLÓN,29 - 28
2025,UFC on ABC 8,Ulanbekov def. Maksum,Unanimous,PAOLILLO,30 - 27
2025,UFC on ABC 8,Ulanbekov def. Maksum,Unanimous,RANSOM,30 - 27
2025,UFC on ABC 8,Usman def. Abdelwahab,Unanimous,CARTLIDGE,29 - 28
2025,UFC on ABC 8,Usman def. Abdelwahab,Unanimous,LETHABY,29 - 28
2025,UFC on ABC 8,Usman def. Abdelwahab,Unanimous,PAOLILLO,29 - 28
2025,UFC on ESPN 69,Usman def. Buckley,Unanimous,BELL,48 - 47
2025,UFC on ESPN 69,Usman def. Buckley,Unanimous,CLEARY,49 - 46
2025,UFC on ESPN 69,Usman def. Buckley,Unanimous,D'AMATO,49 - 46
2025,UFC on ESPN 69,Namajunas def. Maverick,Unanimous,CLEARY,30 - 27
2025,UFC on ESPN 69,Namajunas def. Maverick,Unanimous,MARIGLIANO,30 - 27
2025,UFC on ESPN 69,Namajunas def. Maverick,Unanimous,MCCARTHY,29 - 28
2025,UFC on ESPN 69,Shahbazyan def. Petroski,Unanimous,D'AMATO,30 - 27
2025,UFC on ESPN 69,Shahbazyan def. Petroski,Unanimous,FISHER,30 - 27
2025,UFC on ESPN 69,Shahbazyan def. Petroski,Unanimous,MANN,29 - 28
2025,UFC on ESPN 69,Barcelos def. Garbrandt,Unanimous,BELL,29 - 28
2025,UFC on ESPN 69,Barcelos def. Garbrandt,Unanimous,MANN,29 - 28
2025,UFC on ESPN 69,Barcelos def. Garbrandt,Unanimous,MCCARTHY,29 - 28
2025,UFC on ESPN 69,Abdul-Malik def. Brundage,Unanimous,D'AMATO,29 - 28
2025,UFC on ESPN 69,Abdul-Malik def. Brundage,Unanimous,FISHER,30 - 27
2025,UFC on ESPN 69,Abdul-Malik def. Brundage,Unanimous,MARIGLIANO,29 - 28
2025,UFC on ESPN 69,Menifield def. Sy,Unanimous,CLEARY,29 - 28
2025,UFC on ESPN 69,Menifield def. Sy,Unanimous,FISHER,29 - 28
2025,UFC on ESPN 69,Menifield def. Sy,Unanimous,MCCARTHY,29 - 28
2025,UFC on ESPN 69,Chiesa def. McGee,Unanimous,CLEARY,30 - 27
2025,UFC on ESPN 69,Chiesa def. McGee,Unanimous,FISHER,29 - 28
2025,UFC on ESPN 69,Chiesa def. McGee,Unanimous,MARIGLIANO,30 - 27
2025,UFC on ESPN 69,Simon def. Smotherman,Unanimous,CLEARY,29 - 28
2025,UFC on ESPN 69,Simon def. Smotherman,Unanimous,FISHER,30 - 27
2025,UFC on ESPN 69,Simon def. Smotherman,Unanimous,MARIGLIANO,30 - 27
2025,UFC on ESPN 69,Horth def. Demopoulos,Unanimous,CLEARY,30 - 27
2025,UFC on ESPN 69,Horth def. Demopoulos,Unanimous,FISHER,30 - 27
2025,UFC on ESPN 69,Horth def. Demopoulos,Unanimous,MARIGLIANO,30 - 27
2025,UFC 316,Pyfer def. Gastelum,Unanimous,COLÓN,29 - 27
2025,UFC 316,Pyfer def. Gastelum,Unanimous,D'AMATO,30 - 27
2025,UFC 316,Pyfer def. Gastelum,Unanimous,LEE,29 - 28
2025,UFC 316,Bautista def. Mix,Unanimous,CASTRO,30 - 27
2025,UFC 316,Bautista def. Mix,Unanimous,COLÓN,30 - 27
2025,UFC 316,Bautista def. Mix,Unanimous,D'AMATO,29 - 28
2025,UFC 316,Cortes-Acosta def. Spivac,Unanimous,BILYK,29 - 28
2025,UFC 316,Cortes-Acosta def. Spivac,Unanimous,QUERIDO,29 - 28
2025,UFC 316,Cortes-Acosta def. Spivac,Unanimous,TAMBURRINO,30 - 27
2025,UFC 316,Gustafsson def. Williams,Unanimous,COLÓN,30 - 27
2025,UFC 316,Gustafsson def. Williams,Unanimous,D'AMATO,30 - 26
2025,UFC 316,Gustafsson def. Williams,Unanimous,LEE,30 - 26
2025,UFC 316,Cong def. da Silva,Unanimous,BILYK,30 - 27
2025,UFC 316,Cong def. da Silva,Unanimous,QUERIDO,30 - 27
2025,UFC 316,Cong def. da Silva,Unanimous,TAMBURRINO,30 - 27
2025,UFC 316,Salkilld def. Ashmoz,Unanimous,BILYK,30 - 27
2025,UFC 316,Salkilld def. Ashmoz,Unanimous,CASTRO,29 - 28
2025,UFC 316,Salkilld def. Ashmoz,Unanimous,TAMBURRINO,29 - 28
2025,UFC 316,Mederos def. Choinski,Unanimous,CASTRO,30 - 27
2025,UFC 316,Mederos def. Choinski,Unanimous,LEE,29 - 28
2025,UFC 316,Mederos def. Choinski,Unanimous,TAMBURRINO,30 - 27
2025,UFC on ESPN 68,Gamrot def. Klein,Unanimous,COLÓN,30 - 27
2025,UFC on ESPN 68,Gamrot def. Klein,Unanimous,D'AMATO,30 - 27
2025,UFC on ESPN 68,Gamrot def. Klein,Unanimous,MINER,30 - 27
2025,UFC on ESPN 68,Vieira def. Chiasson,Unanimous,BELL,29 - 28
2025,UFC on ESPN 68,Vieira def. Chiasson,Unanimous,D'AMATO,30 - 27
2025,UFC on ESPN 68,Vieira def. Chiasson,Unanimous,LEBEN,29 - 28
2025,UFC on ESPN 68,Reese def. Todorovic,Unanimous,COLÓN,29 - 28
2025,UFC on ESPN 68,Reese def. Todorovic,Unanimous,MINER,29 - 28
2025,UFC on ESPN 68,Reese def. Todorovic,Unanimous,WEEKS,29 - 28
2025,UFC on ESPN 68,Nascimento def. Filho,Unanimous,D'AMATO,29 - 28
2025,UFC on ESPN 68,Nascimento def. Filho,Unanimous,KAMIJO,29 - 28
2025,UFC on ESPN 68,Nascimento def. Filho,Unanimous,LEBEN,29 - 28
2025,UFC on ESPN 68,Oki def. Aswell,Unanimous,BELL,29 - 28
2025,UFC on ESPN 68,Oki def. Aswell,Unanimous,MCCARTHY,29 - 28
2025,UFC on ESPN 68,Oki def. Aswell,Unanimous,MINER,29 - 28
2025,UFC on ESPN 68,Ardelean def. dos Santos,Unanimous,BELL,30 - 27
2025,UFC on ESPN 68,Ardelean def. dos Santos,Unanimous,COLÓN,29 - 28
2025,UFC on ESPN 68,Ardelean def. dos Santos,Unanimous,D'AMATO,29 - 28
2025,UFC on ESPN+ 114,Santos def. Yusuff,Unanimous,CLEARY,30 - 27
2025,UFC on ESPN+ 114,Santos def. Yusuff,Unanimous,COLÓN,29 - 28
2025,UFC on ESPN+ 114,Santos def. Yusuff,Unanimous,D'AMATO,30 - 27
2025,UFC on ESPN+ 114,Ruziboev def. Stoltzfus,Unanimous,BELL,29 - 28
2025,UFC on ESPN+ 114,Ruziboev def. Stoltzfus,Unanimous,COLÓN,29 - 28
2025,UFC on ESPN+ 114,Ruziboev def. Stoltzfus,Unanimous,WEEKS,30 - 27
2025,UFC on ESPN+ 114,Costa def. Erosa,Unanimous,KAMIJO,29 - 28
2025,UFC on ESPN+ 114,Costa def. Erosa,Unanimous,LEE,29 - 28
2025,UFC on ESPN+ 114,Costa def. Erosa,Unanimous,MCCARTHY,29 - 28
2025,UFC on ESPN+ 114,Pennington def. Pinheiro,Unanimous,CLEARY,29 - 28
2025,UFC on ESPN+ 114,Pennington def. Pinheiro,Unanimous,D'AMATO,29 - 28
2025,UFC on ESPN+ 114,Pennington def. Pinheiro,Unanimous,MCCARTHY,29 - 28
2025,UFC 315,Della Maddalena def. Muhammad,Unanimous,BELL,48 - 47
2025,UFC 315,Della Maddalena def. Muhammad,Unanimous,COLÓN,49 - 46
2025,UFC 315,Della Maddalena def. Muhammad,Unanimous,THERIEN,48 - 47
2025,UFC 315,Shevchenko def. Fiorot,Unanimous,D'AMATO,48 - 47
2025,UFC 315,Shevchenko def. Fiorot,Unanimous,GIRARD,48 - 47
2025,UFC 315,Shevchenko def. Fiorot,Unanimous,LEE,48 - 47
2025,UFC 315,Zahabi def. Aldo,Unanimous,BELL,29 - 28
2025,UFC 315,Zahabi def. Aldo,Unanimous,PROCOPIO,29 - 28
2025,UFC 315,Zahabi def. Aldo,Unanimous,THERIEN,29 - 28
2025,UFC 315,Silva def. Grasso,Unanimous,LEE,30 - 27
2025,UFC 315,Silva def. Grasso,Unanimous,THERIEN,30 - 27
2025,UFC 315,Silva def. Grasso,Unanimous,VALEL,30 - 27
2025,UFC 315,Bukauskas def. Cutelaba,Split,D'AMATO,29 - 28
2025,UFC 315,Bukauskas def. Cutelaba,Split,PROCOPIO,30 - 27
2025,UFC 315,Bukauskas def. Cutelaba,Split,VALEL,27 - 30
2025,UFC 315,Stirling def. Erslan,Unanimous,BELL,29 - 27
2025,UFC 315,Stirling def. Erslan,Unanimous,COLÓN,29 - 28
2025,UFC 315,Stirling def. Erslan,Unanimous,GIRARD,29 - 28
2025,UFC 315,Santos def. Lee,Unanimous,D'AMATO,30 - 27
2025,UFC 315,Santos def. Lee,Unanimous,GIRARD,30 - 27
2025,UFC 315,Santos def. Lee,Unanimous,PROCOPIO,30 - 27
2025,UFC on ESPN 67,Jackson def. Marcos,Unanimous,CLEARY,30 - 27
2025,UFC on ESPN 67,Jackson def. Marcos,Unanimous,HUCKFELDT,30 - 27
2025,UFC on ESPN 67,Jackson def. Marcos,Unanimous,PUCCILLO,30 - 27
2025,UFC on ESPN 67,Sidey def. Smotherman,Unanimous,MOORE,29 - 28
2025,UFC on ESPN 67,Sidey def. Smotherman,Unanimous,PUCCILLO,29 - 28
2025,UFC on ESPN 67,Sidey def. Smotherman,Unanimous,STEWART,30 - 27
2025,UFC on ESPN 67,Jones def. Stephens,Unanimous,BELL,30 - 27
2025,UFC on ESPN 67,Jones def. Stephens,Unanimous,HUCKFELDT,30 - 27
2025,UFC on ESPN 67,Jones def. Stephens,Unanimous,MCCARTHY,30 - 27
2025,UFC on ESPN 67,Santos def. Tate,Unanimous,CLEARY,29 - 28
2025,UFC on ESPN 67,Santos def. Tate,Unanimous,PUCCILLO,29 - 28
2025,UFC on ESPN 67,Santos def. Tate,Unanimous,STEWART,29 - 28
2025,UFC on ESPN 67,Petersen def. Mayes,Unanimous,CLEARY,30 - 26
2025,UFC on ESPN 67,Petersen def. Mayes,Unanimous,HUCKFELDT,30 - 25
2025,UFC on ESPN 67,Petersen def. Mayes,Unanimous,MCCARTHY,30 - 26
2025,UFC on ESPN 67,Miller def. Petrovic,Unanimous,BELL,29 - 28
2025,UFC on ESPN 67,Miller def. Petrovic,Unanimous,HUCKFELDT,29 - 28
2025,UFC on ESPN 67,Miller def. Petrovic,Unanimous,STEWART,29 - 28
2025,UFC on ESPN 66,Garry def. Prates,Unanimous,BUESKING,49 - 46
2025,UFC on ESPN 66,Garry def. Prates,Unanimous,D'AMATO,48 - 47
2025,UFC on ESPN 66,Garry def. Prates,Unanimous,LEE,48 - 47
2025,UFC on ESPN 66,Onama def. Chikadze,Unanimous,GUEARY,29 - 28
2025,UFC on ESPN 66,Onama def. Chikadze,Unanimous,LEE,29 - 28
2025,UFC on ESPN 66,Onama def. Chikadze,Unanimous,PUCCILLO,29 - 28
2025,UFC on ESPN 66,Magomedov def. Pereira,Unanimous,BUESKING,30 - 27
2025,UFC on ESPN 66,Magomedov def. Pereira,Unanimous,CLEARY,30 - 27
2025,UFC on ESPN 66,Magomedov def. Pereira,Unanimous,D'AMATO,30 - 27
2025,UFC on ESPN 66,Schnell def. Flick,Unanimous,CLEARY,29 - 28
2025,UFC on ESPN 66,Schnell def. Flick,Unanimous,COLÓN,29 - 28
2025,UFC on ESPN 66,Schnell def. Flick,Unanimous,HUYETTE,29 - 28
2025,UFC on ESPN 66,Elder def. Young,Unanimous,GUEARY,30 - 27
2025,UFC on ESPN 66,Elder def. Young,Unanimous,LEE,30 - 27
2025,UFC on ESPN 66,Elder def. Young,Unanimous,PUCCILLO,30 - 27
2025,UFC on ESPN 66,Gutierrez def. Castaneda,Split,BUESKING,29 - 28
2025,UFC on ESPN 66,Gutierrez def. Castaneda,Split,D'AMATO,29 - 28
2025,UFC on ESPN 66,Gutierrez def. Castaneda,Split,HUYETTE,28 - 29
2025,UFC on ESPN 66,Blackshear def. Alateng,Unanimous,CLEARY,29 - 28
2025,UFC on ESPN 66,Blackshear def. Alateng,Unanimous,COLÓN,30 - 27
2025,UFC on ESPN 66,Blackshear def. Alateng,Unanimous,LEE,30 - 27
2025,UFC 314,Volkanovski def. Lopes,Unanimous,CLEARY,48 - 47
2025,UFC 314,Volkanovski def. Lopes,Unanimous,D'AMATO,49 - 46
2025,UFC 314,Volkanovski def. Lopes,Unanimous,LEE,49 - 46
2025,UFC 314,Rodriguez def. Freire,Unanimous,D'AMATO,30 - 27
2025,UFC 314,Rodriguez def. Freire,Unanimous,KAMIJO,30 - 27
2025,UFC 314,Rodriguez def. Freire,Unanimous,RODRIGUEZ,30 - 27
2025,UFC 314,Jandiroba def. Xiaonan,Unanimous,D'AMATO,30 - 27
2025,UFC 314,Jandiroba def. Xiaonan,Unanimous,RODRIGUEZ,30 - 27
2025,UFC 314,Jandiroba def. Xiaonan,Unanimous,WINCAPAW,30 - 27
2025,UFC 314,Hooper def. Miller,Unanimous,KAMIJO,29 - 28
2025,UFC 314,Hooper def. Miller,Unanimous,RODRIGUEZ,29 - 28
2025,UFC 314,Hooper def. Miller,Unanimous,WINCAPAW,30 - 27
2025,UFC 314,Mudaerji def. Raposo,Split,EDGEHILL,29 - 28
2025,UFC 314,Mudaerji def. Raposo,Split,KAMIJO,28 - 29
2025,UFC 314,Mudaerji def. Raposo,Split,WINCAPAW,29 - 28
2025,UFC on ESPN 65,Murphy def. Emmett,Unanimous,CARTLIDGE,48 - 47
2025,UFC on ESPN 65,Murphy def. Emmett,Unanimous,COLÓN,49 - 46
2025,UFC on ESPN 65,Murphy def. Emmett,Unanimous,D'AMATO,48 - 47
2025,UFC on ESPN 65,Sabatini def. Brito,Unanimous,D'AMATO,30 - 26
2025,UFC on ESPN 65,Sabatini def. Brito,Unanimous,LEBEN,30 - 26
2025,UFC on ESPN 65,Sabatini def. Brito,Unanimous,LETHABY,30 - 27
2025,UFC on ESPN 65,Tavares def. Meerschaert,Unanimous,D'AMATO,29 - 28
2025,UFC on ESPN 65,Tavares def. Meerschaert,Unanimous,KAMIJO,29 - 28
2025,UFC on ESPN 65,Tavares def. Meerschaert,Unanimous,LETHABY,29 - 28
2025,UFC on ESPN 65,Finney def. Valentin,Split,CARTLIDGE,29 - 28
2025,UFC on ESPN 65,Finney def. Valentin,Split,KAMIJO,29 - 28
2025,UFC on ESPN 65,Finney def. Valentin,Split,WEEKS,27 - 30
2025,UFC on ESPN 65,Lookboonmee def. Nunes,Unanimous,COLÓN,30 - 27
2025,UFC on ESPN 65,Lookboonmee def. Nunes,Unanimous,D'AMATO,29 - 28
2025,UFC on ESPN 65,Lookboonmee def. Nunes,Unanimous,LEBEN,29 - 28
2025,UFC on ESPN 65,Henry def. Falcao,Unanimous,CARTLIDGE,29 - 28
2025,UFC on ESPN 65,Henry def. Falcao,Unanimous,KAMIJO,29 - 28
2025,UFC on ESPN 65,Henry def. Falcao,Unanimous,LEBEN,29 - 28
2025,UFC on ESPN 65,Buday def. Satybaldiev,Unanimous,COLÓN,29 - 28
